time,液体流量计1,气体流量计2,温度传感器3,温度传感器4,液位传感器5,压力传感器6,液体流量计7,气体流量计8,温度传感器9,温度传感器10,压力传感器11,液位传感器12,气体流量计13,温度传感器14,压力传感器15,液体流量计16,温度传感器18,压力传感器19,液体流量计20,液位传感器21,温度传感器22,压力传感器23,温度传感器24,压力传感器25,液体流量计26,液位传感器27,压力传感器28,温度传感器29,温度传感器30,压力传感器31,液体流量计32
" 2022-08-29 16:00:30",15.0,0.0,28.0,26.0,423.0,25.0,8.0,1.0,20.0,24.0,34.0,401.0,1.0,21.0,23.0,27.0,22.0,20.0,11.0,355.0,22.0,36.0,20.0,20.0,26.0,499.0,33.0,28.0,20.0,24.0,0.0
" 2022-08-29 16:03:30",10.0,0.0,24.0,23.0,406.0,3.0,15.0,1.0,21.0,23.0,37.0,486.0,0.0,21.0,18.0,2.0,20.0,34.0,15.0,331.0,29.0,1.0,25.0,23.0,1.0,392.0,26.0,25.0,29.0,32.0,2.0
" 2022-08-29 16:04:00",16.0,0.0,25.0,27.0,351.0,8.0,24.0,1.0,20.0,23.0,2.0,512.0,0.0,26.0,8.0,5.0,23.0,4.0,0.0,389.0,26.0,25.0,27.0,17.0,19.0,539.0,12.0,24.0,25.0,19.0,7.0
" 2022-08-29 16:04:30",26.0,0.0,29.0,26.0,332.0,23.0,12.0,1.0,25.0,21.0,24.0,493.0,0.0,25.0,5.0,5.0,25.0,10.0,18.0,528.0,23.0,6.0,20.0,26.0,29.0,544.0,10.0,20.0,20.0,28.0,14.0
" 2022-08-29 16:05:00",4.0,1.0,26.0,27.0,484.0,31.0,15.0,1.0,26.0,24.0,9.0,402.0,1.0,22.0,29.0,15.0,23.0,8.0,14.0,532.0,21.0,19.0,25.0,5.0,26.0,341.0,34.0,24.0,26.0,5.0,7.0
" 2022-08-29 16:05:30",15.0,1.0,26.0,25.0,317.0,29.0,21.0,0.0,22.0,27.0,4.0,381.0,1.0,28.0,2.0,9.0,20.0,20.0,10.0,354.0,27.0,18.0,29.0,36.0,18.0,425.0,27.0,23.0,28.0,38.0,25.0
" 2022-08-29 16:06:00",19.0,1.0,21.0,23.0,502.0,7.0,22.0,1.0,24.0,27.0,0.0,508.0,1.0,20.0,22.0,19.0,25.0,32.0,20.0,468.0,25.0,1.0,25.0,17.0,0.0,499.0,3.0,28.0,29.0,3.0,20.0
" 2022-08-29 16:06:30",13.0,0.0,24.0,29.0,460.0,30.0,22.0,1.0,29.0,27.0,12.0,368.0,0.0,20.0,12.0,23.0,21.0,15.0,21.0,521.0,26.0,4.0,21.0,15.0,4.0,391.0,22.0,25.0,27.0,6.0,11.0
" 2022-08-29 16:07:00",3.0,0.0,20.0,26.0,387.0,30.0,7.0,1.0,24.0,24.0,2.0,304.0,1.0,23.0,37.0,1.0,25.0,16.0,1.0,338.0,22.0,12.0,28.0,38.0,7.0,413.0,8.0,29.0,23.0,6.0,29.0
" 2022-08-29 16:07:30",13.0,1.0,24.0,24.0,450.0,19.0,4.0,1.0,23.0,22.0,21.0,447.0,1.0,23.0,16.0,6.0,28.0,25.0,8.0,301.0,24.0,32.0,24.0,15.0,19.0,340.0,36.0,28.0,27.0,10.0,27.0
" 2022-08-29 16:08:00",4.0,1.0,23.0,22.0,515.0,17.0,5.0,1.0,29.0,27.0,26.0,344.0,0.0,25.0,19.0,20.0,26.0,27.0,25.0,447.0,25.0,18.0,26.0,38.0,13.0,473.0,16.0,26.0,23.0,12.0,8.0
