timestamp,液体流量计1,气体流量计2
" 2022-08-15 09:15:30",26.0,0.0
" 2022-08-15 09:16:00",21.0,0.0
" 2022-08-15 09:16:30",23.0,1.0
" 2022-08-15 09:17:00",1.0,1.0
" 2022-08-15 09:17:30",26.0,0.0
" 2022-08-15 09:18:00",15.0,1.0
" 2022-08-15 09:18:30",1.0,0.0
" 2022-08-15 09:19:00",5.0,0.0
" 2022-08-15 09:19:30",4.0,1.0
" 2022-08-15 09:20:00",23.0,0.0
" 2022-08-15 09:20:30",19.0,0.0
" 2022-08-15 09:21:00",22.0,0.0
" 2022-08-15 09:21:30",9.0,1.0
" 2022-08-15 09:22:00",20.0,0.0
" 2022-08-15 09:22:30",6.0,0.0
" 2022-08-15 09:23:00",19.0,1.0
" 2022-08-15 09:23:30",2.0,1.0
" 2022-08-15 09:24:00",5.0,1.0
" 2022-08-15 09:24:30",25.0,1.0
" 2022-08-15 09:25:00",11.0,0.0
" 2022-08-15 09:25:30",19.0,1.0
" 2022-08-15 09:26:00",14.0,0.0
" 2022-08-15 09:26:30",9.0,1.0
" 2022-08-15 09:27:00",19.0,0.0
" 2022-08-15 09:27:30",26.0,0.0
" 2022-08-15 09:28:00",20.0,0.0
" 2022-08-15 09:28:30",1.0,0.0
" 2022-08-15 09:29:00",29.0,0.0
" 2022-08-15 09:29:30",5.0,1.0
" 2022-08-15 09:30:00",7.0,0.0
" 2022-08-15 09:30:30",24.0,0.0
" 2022-08-15 09:31:00",22.0,0.0
" 2022-08-15 09:31:30",15.0,0.0
" 2022-08-15 09:32:00",28.0,1.0
" 2022-08-15 09:32:30",20.0,1.0
" 2022-08-15 09:33:00",11.0,0.0
" 2022-08-15 09:33:30",10.0,1.0
" 2022-08-15 09:34:00",9.0,0.0
" 2022-08-15 09:34:30",27.0,0.0
" 2022-08-15 09:35:00",6.0,0.0
" 2022-08-15 09:35:30",7.0,0.0
" 2022-08-15 09:36:00",28.0,0.0
" 2022-08-15 09:36:30",25.0,0.0
" 2022-08-15 09:37:00",12.0,0.0
" 2022-08-15 09:37:30",19.0,1.0
" 2022-08-15 09:38:00",29.0,0.0
" 2022-08-15 09:38:30",4.0,1.0
" 2022-08-15 09:39:00",22.0,0.0
" 2022-08-15 09:39:30",16.0,1.0
" 2022-08-15 09:40:00",5.0,0.0
" 2022-08-15 09:40:30",5.0,0.0
" 2022-08-15 09:41:00",13.0,0.0
" 2022-08-15 09:41:30",5.0,0.0
" 2022-08-15 09:42:00",13.0,1.0
" 2022-08-15 09:42:30",3.0,1.0
" 2022-08-15 09:43:00",0.0,1.0
" 2022-08-15 09:43:30",15.0,0.0
" 2022-08-15 09:44:00",23.0,1.0
" 2022-08-15 09:44:30",17.0,1.0
" 2022-08-15 09:45:00",22.0,1.0
" 2022-08-15 09:45:30",4.0,1.0
" 2022-08-15 09:46:00",10.0,1.0
" 2022-08-15 09:46:30",12.0,1.0
" 2022-08-15 09:47:00",6.0,1.0
" 2022-08-15 09:47:30",12.0,0.0
" 2022-08-15 09:48:00",13.0,1.0
" 2022-08-15 09:48:30",9.0,1.0
" 2022-08-15 09:49:00",4.0,0.0
" 2022-08-15 09:49:30",8.0,0.0
" 2022-08-15 09:50:00",8.0,1.0
" 2022-08-15 09:50:30",27.0,1.0
" 2022-08-15 09:51:01",26.0,1.0
" 2022-08-15 09:51:30",14.0,1.0
" 2022-08-15 09:52:00",11.0,0.0
" 2022-08-15 09:52:30",19.0,1.0
" 2022-08-15 09:53:00",7.0,0.0
" 2022-08-15 09:53:30",1.0,0.0
" 2022-08-15 09:54:00",15.0,0.0
" 2022-08-15 09:54:30",9.0,0.0
" 2022-08-15 09:55:00",26.0,0.0
" 2022-08-15 09:55:30",9.0,0.0
" 2022-08-15 09:56:00",6.0,1.0
" 2022-08-15 09:56:30",9.0,0.0
" 2022-08-15 09:57:00",2.0,0.0
" 2022-08-15 09:57:30",17.0,1.0
" 2022-08-15 09:58:00",5.0,1.0
" 2022-08-15 09:58:30",29.0,1.0
" 2022-08-15 09:59:00",7.0,0.0
" 2022-08-15 09:59:30",21.0,0.0
" 2022-08-15 10:00:00",16.0,0.0
" 2022-08-15 10:00:30",10.0,0.0
" 2022-08-15 10:01:00",18.0,1.0
" 2022-08-15 10:01:30",15.0,1.0
" 2022-08-15 10:02:00",5.0,0.0
" 2022-08-15 10:02:30",17.0,0.0
" 2022-08-15 10:03:00",25.0,1.0
" 2022-08-15 10:03:30",6.0,1.0
" 2022-08-15 10:04:00",22.0,0.0
" 2022-08-15 10:04:30",29.0,0.0
" 2022-08-15 10:05:00",19.0,1.0
" 2022-08-15 10:05:30",25.0,0.0
" 2022-08-15 10:06:00",17.0,0.0
" 2022-08-15 10:06:30",21.0,0.0
" 2022-08-15 10:07:00",28.0,0.0
" 2022-08-15 10:07:30",28.0,1.0
" 2022-08-15 10:08:00",13.0,0.0
" 2022-08-15 10:08:30",14.0,1.0
" 2022-08-15 10:09:00",0.0,1.0
