time,液体流量计1,气体流量计2,温度传感器3,温度传感器4,液位传感器5,压力传感器6,液体流量计7,气体流量计8,温度传感器9,温度传感器10,压力传感器11,液位传感器12,气体流量计13,温度传感器14,压力传感器15,液体流量计16,温度传感器18,压力传感器19,液体流量计20,液位传感器21,温度传感器22,压力传感器23,温度传感器24,压力传感器25,液体流量计26,液位传感器27,压力传感器28,温度传感器29,温度传感器30,压力传感器31,液体流量计32
" 2022-08-15 09:35:00",26.0,0.0,23.0,21.0,409.0,20.0,20.0,1.0,25.0,23.0,2.0,404.0,1.0,29.0,20.0,11.0,28.0,12.0,21.0,435.0,25.0,30.0,25.0,1.0,6.0,325.0,25.0,27.0,25.0,38.0,8.0
" 2022-08-15 09:17:55",21.0,0.0,27.0,21.0,352.0,31.0,16.0,1.0,20.0,28.0,38.0,524.0,1.0,22.0,12.0,0.0,20.0,15.0,24.0,395.0,24.0,7.0,24.0,15.0,4.0,417.0,15.0,27.0,28.0,25.0,19.0
" 2022-08-15 09:19:14",23.0,1.0,23.0,27.0,429.0,15.0,21.0,1.0,28.0,28.0,32.0,542.0,0.0,29.0,28.0,23.0,25.0,26.0,12.0,459.0,20.0,2.0,26.0,29.0,28.0,314.0,33.0,26.0,23.0,11.0,25.0
" 2022-08-15 09:18:40",1.0,1.0,25.0,28.0,526.0,12.0,24.0,0.0,27.0,23.0,30.0,306.0,1.0,22.0,4.0,22.0,24.0,20.0,22.0,315.0,20.0,13.0,23.0,9.0,19.0,387.0,35.0,26.0,25.0,29.0,4.0
" 2022-08-15 09:19:34",26.0,0.0,28.0,29.0,480.0,17.0,11.0,1.0,29.0,21.0,36.0,526.0,0.0,27.0,21.0,7.0,28.0,28.0,1.0,474.0,24.0,39.0,22.0,32.0,29.0,324.0,21.0,21.0,25.0,7.0,27.0
" 2022-08-15 09:21:24",15.0,1.0,22.0,21.0,331.0,11.0,27.0,0.0,25.0,28.0,4.0,520.0,1.0,22.0,2.0,23.0,26.0,10.0,17.0,324.0,28.0,7.0,21.0,4.0,8.0,408.0,6.0,26.0,21.0,20.0,23.0
" 2022-08-15 09:20:23",1.0,0.0,20.0,21.0,362.0,24.0,5.0,0.0,28.0,24.0,33.0,481.0,0.0,29.0,22.0,25.0,25.0,17.0,9.0,305.0,25.0,36.0,28.0,37.0,24.0,353.0,18.0,23.0,20.0,26.0,23.0
" 2022-08-15 09:19:12",5.0,0.0,22.0,23.0,498.0,33.0,2.0,0.0,28.0,25.0,0.0,441.0,0.0,24.0,27.0,7.0,22.0,13.0,1.0,509.0,27.0,37.0,29.0,24.0,25.0,386.0,37.0,26.0,29.0,36.0,1.0
" 2022-08-15 09:21:08",4.0,1.0,21.0,24.0,367.0,12.0,20.0,0.0,26.0,26.0,19.0,452.0,1.0,23.0,23.0,1.0,21.0,10.0,28.0,407.0,25.0,33.0,25.0,6.0,13.0,328.0,28.0,29.0,23.0,16.0,8.0
" 2022-08-15 09:23:26",23.0,0.0,23.0,28.0,510.0,19.0,4.0,0.0,27.0,24.0,7.0,350.0,0.0,25.0,4.0,13.0,24.0,32.0,13.0,323.0,24.0,30.0,21.0,0.0,22.0,399.0,16.0,22.0,29.0,33.0,18.0
" 2022-08-15 09:23:02",19.0,0.0,25.0,21.0,302.0,7.0,6.0,1.0,24.0,28.0,2.0,359.0,0.0,24.0,26.0,13.0,29.0,26.0,22.0,319.0,26.0,34.0,23.0,38.0,26.0,482.0,31.0,20.0,26.0,15.0,2.0
" 2022-08-15 09:23:04",22.0,0.0,20.0,27.0,355.0,18.0,8.0,1.0,26.0,24.0,23.0,507.0,0.0,25.0,3.0,20.0,27.0,1.0,24.0,319.0,28.0,22.0,22.0,35.0,29.0,388.0,4.0,23.0,23.0,13.0,22.0
" 2022-08-15 09:24:07",9.0,1.0,23.0,21.0,316.0,22.0,22.0,1.0,29.0,23.0,17.0,396.0,1.0,27.0,2.0,15.0,28.0,13.0,22.0,425.0,25.0,25.0,24.0,8.0,9.0,533.0,30.0,27.0,20.0,36.0,8.0
" 2022-08-15 09:23:35",20.0,0.0,29.0,20.0,475.0,2.0,27.0,0.0,26.0,28.0,16.0,337.0,1.0,25.0,29.0,21.0,27.0,28.0,25.0,338.0,20.0,5.0,21.0,23.0,21.0,330.0,26.0,27.0,24.0,31.0,18.0
" 2022-08-15 09:26:31",6.0,0.0,22.0,27.0,438.0,16.0,3.0,0.0,28.0,21.0,2.0,344.0,0.0,27.0,18.0,7.0,26.0,14.0,0.0,412.0,26.0,39.0,22.0,30.0,13.0,333.0,12.0,22.0,27.0,29.0,20.0
" 2022-08-15 09:23:08",19.0,1.0,23.0,23.0,391.0,31.0,10.0,1.0,21.0,20.0,24.0,464.0,0.0,29.0,25.0,18.0,28.0,34.0,24.0,344.0,20.0,22.0,20.0,0.0,29.0,455.0,29.0,22.0,21.0,12.0,21.0
" 2022-08-15 09:24:39",2.0,1.0,27.0,29.0,534.0,20.0,28.0,1.0,21.0,28.0,21.0,498.0,1.0,23.0,35.0,0.0,28.0,2.0,18.0,386.0,28.0,38.0,22.0,37.0,28.0,332.0,19.0,20.0,26.0,37.0,24.0
" 2022-08-15 09:26:08",5.0,1.0,22.0,26.0,494.0,20.0,29.0,0.0,29.0,28.0,27.0,533.0,1.0,20.0,16.0,14.0,27.0,26.0,2.0,388.0,28.0,2.0,26.0,39.0,27.0,471.0,30.0,23.0,23.0,32.0,21.0
