time,液体流量计1,气体流量计2,温度传感器3,温度传感器4,液位传感器5,压力传感器6,液体流量计7,气体流量计8,温度传感器9,温度传感器10,压力传感器11,液位传感器12,气体流量计13,温度传感器14,压力传感器15,液体流量计16,温度传感器18,压力传感器19,液体流量计20,液位传感器21,温度传感器22,压力传感器23,温度传感器24,压力传感器25,液体流量计26,液位传感器27,压力传感器28,温度传感器29,温度传感器30,压力传感器31,液体流量计32
" 2022-08-26 17:18:33",2.0,0.0,25.0,28.0,398.0,17.0,11.0,0.0,20.0,26.0,18.0,458.0,1.0,22.0,9.0,1.0,23.0,0.0,20.0,326.0,22.0,18.0,20.0,24.0,8.0,320.0,20.0,22.0,20.0,24.0,3.0
" 2022-08-26 17:27:40",18.0,0.0,24.0,27.0,516.0,36.0,24.0,1.0,25.0,29.0,20.0,536.0,0.0,28.0,16.0,22.0,23.0,16.0,22.0,475.0,26.0,5.0,21.0,12.0,17.0,366.0,8.0,24.0,27.0,36.0,7.0
" 2022-08-26 16:54:50",15.0,0.0,20.0,24.0,439.0,5.0,8.0,1.0,29.0,28.0,25.0,339.0,1.0,23.0,28.0,19.0,20.0,3.0,12.0,339.0,23.0,23.0,29.0,5.0,8.0,416.0,3.0,20.0,29.0,33.0,4.0
" 2022-08-26 16:56:49",12.0,1.0,21.0,25.0,484.0,33.0,26.0,1.0,29.0,24.0,28.0,374.0,1.0,28.0,1.0,5.0,24.0,36.0,3.0,320.0,27.0,2.0,22.0,9.0,21.0,460.0,24.0,24.0,27.0,11.0,25.0
" 2022-08-26 16:55:08",25.0,0.0,23.0,28.0,340.0,6.0,5.0,1.0,24.0,20.0,4.0,461.0,0.0,25.0,14.0,12.0,26.0,16.0,18.0,540.0,25.0,3.0,29.0,29.0,29.0,539.0,32.0,27.0,25.0,15.0,29.0
" 2022-08-26 16:57:27",10.0,1.0,20.0,20.0,385.0,26.0,17.0,0.0,29.0,24.0,18.0,437.0,1.0,28.0,4.0,25.0,23.0,11.0,10.0,353.0,26.0,35.0,28.0,15.0,5.0,443.0,6.0,22.0,22.0,36.0,19.0
" 2022-08-26 16:56:58",14.0,1.0,22.0,25.0,455.0,20.0,17.0,1.0,24.0,26.0,31.0,309.0,1.0,24.0,8.0,1.0,22.0,4.0,19.0,375.0,25.0,26.0,21.0,21.0,25.0,400.0,12.0,29.0,29.0,34.0,17.0
" 2022-08-26 16:57:27",20.0,1.0,29.0,22.0,498.0,36.0,5.0,0.0,25.0,25.0,5.0,468.0,0.0,21.0,6.0,21.0,22.0,32.0,10.0,467.0,22.0,8.0,23.0,26.0,14.0,456.0,11.0,29.0,23.0,23.0,19.0
" 2022-08-26 16:56:12",9.0,1.0,29.0,23.0,472.0,26.0,18.0,0.0,27.0,23.0,18.0,433.0,0.0,20.0,18.0,27.0,26.0,1.0,28.0,355.0,21.0,32.0,27.0,1.0,4.0,480.0,15.0,22.0,27.0,15.0,25.0
" 2022-08-26 16:56:49",8.0,0.0,20.0,25.0,526.0,17.0,0.0,0.0,29.0,20.0,22.0,438.0,0.0,25.0,1.0,22.0,20.0,5.0,24.0,485.0,20.0,14.0,28.0,4.0,1.0,370.0,22.0,28.0,26.0,4.0,10.0
" 2022-08-26 16:59:14",0.0,1.0,24.0,20.0,450.0,10.0,10.0,1.0,20.0,25.0,14.0,340.0,1.0,29.0,26.0,10.0,27.0,5.0,14.0,388.0,21.0,18.0,25.0,0.0,25.0,320.0,17.0,25.0,25.0,12.0,10.0
" 2022-08-26 16:57:29",8.0,0.0,27.0,29.0,345.0,6.0,3.0,1.0,29.0,21.0,22.0,320.0,1.0,27.0,12.0,14.0,29.0,3.0,6.0,539.0,29.0,33.0,25.0,35.0,24.0,477.0,13.0,22.0,20.0,17.0,27.0
" 2022-08-26 16:57:30",24.0,1.0,29.0,28.0,435.0,4.0,14.0,1.0,27.0,26.0,6.0,358.0,0.0,28.0,0.0,2.0,27.0,27.0,21.0,382.0,23.0,14.0,26.0,36.0,26.0,475.0,5.0,25.0,28.0,39.0,10.0
" 2022-08-26 16:59:49",7.0,1.0,23.0,28.0,527.0,21.0,0.0,0.0,29.0,27.0,15.0,466.0,1.0,25.0,2.0,19.0,26.0,5.0,27.0,433.0,20.0,31.0,28.0,37.0,11.0,468.0,33.0,28.0,24.0,25.0,6.0
" 2022-08-26 16:57:00",26.0,1.0,27.0,25.0,546.0,21.0,3.0,1.0,23.0,27.0,22.0,482.0,1.0,23.0,35.0,19.0,21.0,27.0,5.0,479.0,21.0,33.0,24.0,17.0,16.0,527.0,35.0,28.0,24.0,36.0,29.0
" 2022-08-26 16:59:57",13.0,1.0,22.0,25.0,521.0,23.0,27.0,1.0,23.0,27.0,3.0,541.0,0.0,26.0,27.0,10.0,25.0,21.0,23.0,531.0,20.0,30.0,26.0,16.0,26.0,363.0,36.0,27.0,21.0,34.0,27.0
" 2022-08-26 17:01:43",4.0,1.0,21.0,21.0,349.0,34.0,28.0,0.0,27.0,24.0,12.0,526.0,1.0,21.0,30.0,20.0,22.0,1.0,19.0,399.0,20.0,7.0,22.0,10.0,9.0,448.0,13.0,29.0,21.0,15.0,6.0
" 2022-08-26 17:00:09",6.0,0.0,29.0,20.0,394.0,11.0,6.0,1.0,25.0,21.0,0.0,454.0,0.0,27.0,22.0,12.0,24.0,22.0,7.0,532.0,20.0,16.0,25.0,8.0,20.0,392.0,1.0,23.0,28.0,12.0,7.0
" 2022-08-26 17:02:43",19.0,0.0,25.0,24.0,506.0,19.0,15.0,0.0,22.0,24.0,4.0,397.0,0.0,24.0,27.0,15.0,27.0,10.0,14.0,311.0,28.0,27.0,29.0,2.0,8.0,534.0,7.0,25.0,28.0,38.0,25.0
" 2022-08-26 17:02:56",19.0,0.0,26.0,26.0,310.0,13.0,18.0,1.0,21.0,26.0,19.0,328.0,1.0,21.0,24.0,13.0,29.0,23.0,11.0,440.0,25.0,2.0,23.0,11.0,20.0,460.0,19.0,27.0,23.0,4.0,6.0
" 2022-08-26 17:03:17",9.0,0.0,24.0,20.0,354.0,34.0,9.0,1.0,21.0,23.0,20.0,543.0,1.0,27.0,2.0,20.0,23.0,33.0,13.0,533.0,21.0,27.0,25.0,3.0,20.0,335.0,9.0,25.0,23.0,33.0,21.0
" 2022-08-26 17:02:06",28.0,0.0,20.0,27.0,318.0,36.0,4.0,1.0,25.0,21.0,0.0,300.0,1.0,24.0,24.0,4.0,24.0,39.0,21.0,455.0,21.0,13.0,23.0,5.0,26.0,395.0,19.0,28.0,25.0,16.0,18.0
" 2022-08-26 17:04:32",18.0,1.0,24.0,26.0,444.0,34.0,3.0,0.0,23.0,24.0,19.0,356.0,1.0,27.0,13.0,6.0,27.0,36.0,21.0,478.0,22.0,25.0,20.0,2.0,1.0,388.0,24.0,27.0,25.0,11.0,27.0
" 2022-08-26 17:01:43",8.0,1.0,26.0,21.0,386.0,19.0,25.0,0.0,22.0,21.0,13.0,537.0,0.0,22.0,38.0,5.0,24.0,27.0,8.0,319.0,27.0,9.0,21.0,0.0,15.0,331.0,39.0,29.0,24.0,36.0,16.0
" 2022-08-26 17:04:14",3.0,1.0,24.0,25.0,466.0,11.0,14.0,0.0,28.0,26.0,29.0,322.0,1.0,21.0,7.0,22.0,28.0,17.0,20.0,399.0,21.0,25.0,23.0,23.0,20.0,537.0,23.0,22.0,21.0,27.0,18.0
" 2022-08-26 17:05:49",20.0,1.0,27.0,25.0,440.0,25.0,29.0,1.0,29.0,20.0,31.0,463.0,1.0,20.0,14.0,19.0,27.0,8.0,28.0,450.0,26.0,18.0,26.0,5.0,4.0,493.0,32.0,25.0,25.0,16.0,5.0
" 2022-08-26 17:06:08",5.0,1.0,22.0,22.0,487.0,31.0,16.0,1.0,20.0,23.0,4.0,544.0,0.0,26.0,34.0,20.0,20.0,34.0,19.0,406.0,24.0,2.0,21.0,22.0,8.0,493.0,12.0,26.0,29.0,17.0,9.0
" 2022-08-26 17:06:11",17.0,1.0,24.0,29.0,519.0,19.0,8.0,0.0,23.0,27.0,13.0,531.0,1.0,20.0,2.0,19.0,28.0,37.0,12.0,509.0,25.0,36.0,20.0,17.0,12.0,340.0,2.0,27.0,22.0,32.0,10.0
" 2022-08-26 17:07:53",28.0,1.0,21.0,22.0,516.0,0.0,16.0,1.0,29.0,25.0,22.0,485.0,0.0,21.0,22.0,1.0,23.0,26.0,23.0,460.0,27.0,22.0,28.0,1.0,21.0,504.0,14.0,28.0,21.0,35.0,22.0
